,leg_1,leg_2,coint_t,pvalue,hedge_ratio,hurst_exponent,half_life,crossovers
0,AJG,ICE,-5.147983659620082,1.1216930205026491e-05,0.8324063708606491,0.2803003575860494,1.1781467163424277,True
1,ABT,STE,-4.7549555309938745,6.626876222307934e-05,1.7228732688712358,0.2794651952447683,7.25324869137458,False
2,NTRS,RJF,-4.70208791252976,8.339605520560768e-05,1.0740651191580186,0.2697384956427923,1.2421562466147327,False
3,NSC,UNP,-4.660216193480452,9.989092645992373e-05,0.8383811292691428,0.3242200350027729,1.4510634470799704,True
4,NTRS,RF,-4.61611692081354,0.0001206168069132746,0.24335318118307875,0.2537121965385828,2.4601143959084384,True
5,APH,ORCL,-4.531470188837633,0.00017243548450799316,0.3571430117033584,0.32163578029650786,1.1471488516385007,True
6,EOG,FANG,-4.528536595667512,0.00017456596096897275,1.2339169880869334,0.34004637309261077,1.670930445887998,True
7,FANG,WMB,-4.511073960508412,0.00018777576856455558,0.12209588137753137,0.49970792316703216,2.4271103876687947,False
8,RF,SCHW,-4.457179646147333,0.00023480440867232506,2.509444187004382,0.3269616534771,3.81398389004013,False
9,MDT,ZBH,-4.446371183089225,0.00024549555318393034,1.2378482802999504,0.32650838899949114,3.2522475993642486,False
10,AVY,NOC,-4.402310671993148,0.0002940500971728567,2.923124964477975,0.3785409975830869,5.650699373220938,True
11,CMG,UA,-4.390322724385885,0.0003087594822774848,-0.015057566588254143,0.46250377745482896,2.543875111015674,False
12,EOG,WMB,-4.387542361938999,0.00031226926781990623,0.16348140947485662,0.4875773238581153,3.1523441140018735,True
13,CTXS,JKHY,-4.384426355332312,0.000316247663609254,1.283970246807812,0.312459527282072,33.29135361797777,True
14,MET,USB,-4.375731949264388,0.0003276037769046616,1.2850901145838127,0.3671324687016073,3.7149712099118313,False
15,AEP,SRE,-4.346653070044919,0.00036845512061987635,1.3802950827583504,0.24988730405493145,1.1899501890274922,True
16,FANG,MRO,-4.3276401310448485,0.00039772216649807063,0.15386622741278996,0.40522288316563027,57.29487755995276,False
17,ICE,MMC,-4.314325795865951,0.0004195110056584043,1.0725135035838131,0.35392874927932516,3.3123970250655166,True
18,AON,ICE,-4.300992016777289,0.0004424585318928937,0.4214094275951416,0.3133437047043226,1.9630799206081573,False
19,ABT,ZTS,-4.282496763059792,0.0004762573722621254,1.7419562257862584,0.2833581191165217,1.0882768127772935,True
20,AMAT,MCHP,-4.266025460844512,0.0005083948457325704,1.389704631003942,0.3041786607177734,1.3392890321094986,True
21,CB,HIG,-4.2572579092801375,0.0005263246934362712,0.46532525512039286,0.36178169261388765,1.801841448277375,True
22,PCAR,PWR,-4.246612156157917,0.0005488968913314956,0.7632824514679122,0.27663314736467,1.223112465790751,True
23,ANSS,KLAC,-4.235758059666686,0.0005728477760372512,0.5584663017472192,0.3438624891789903,1.2060193514338338,True
24,ITW,PCAR,-4.231485835107363,0.000582542180916174,0.3173153942188788,0.39309599267752415,1.1905468949740834,True
25,AVY,LMT,-4.229017120263076,0.0005882143238947437,3.047368092233216,0.35449423722430606,2.1447618423346335,True
26,DXC,JNPR,-4.228593519172183,0.0005891928051897903,0.06038192040672085,0.3474782367638611,1.1018473862099805,True
27,J,WM,-4.210017378175406,0.0006336406393706495,1.25612750818868,0.3363159864773907,8.241238157468583,True
28,DOV,RSG,-4.187513255124897,0.0006917127788435367,0.7692703475996345,0.3851553267185509,2.754089690005535,True
29,MMC,WLTW,-4.17353483966172,0.0007302646004655164,1.758648451897221,0.3303928972242896,2.3532195247023973,True
30,EOG,MRO,-4.1728214934889305,0.0007322851128403494,0.19674585034914988,0.3481821820918613,8.144012861431632,True
31,NWS,NWSA,-4.168106101429552,0.0007457738255534269,0.9964038363366893,0.196929272990682,36.02573997891964,True
32,CFG,FITB,-4.159279342650729,0.0007716526948079764,0.6719134312998304,0.34222779879947834,6.753699539540018,True
33,NTRS,SCHW,-4.126793245167511,0.0008743374718752861,0.5991178210284565,0.3314009743049367,2.1384266945852968,True
34,DPZ,LOW,-4.12320985718844,0.0008864171294329283,0.24060924426856906,0.48065810717644913,1.3269911641991554,False
35,BR,MXIM,-4.120380883941932,0.0008960639196302089,0.3365188522845013,0.3258274328531524,1.2452461677109172,True
36,NTRS,TFC,-4.111236149595668,0.0009279245616585882,0.5043902065140775,0.32124593301262827,46.30103669152844,True
37,MAS,PCAR,-4.105790525788812,0.0009473981674210731,1.3149322893796545,0.3535467276105335,1.6326211831629336,True
38,MHK,UA,-4.094890027130601,0.0009875333557993209,0.04848987519256953,0.46374809022934815,8.816025500892497,False
39,CMI,PWR,-4.092732123444359,0.0009956650322776952,0.24587176389841062,0.3531169186158334,9.213919206664746,True
40,ES,WEC,-4.0720507452956465,0.0010768400592929468,1.1981475574082163,0.28024553964756815,2.4413154110031177,True
41,BBY,DPZ,-4.068836129048132,0.0010899996762201655,4.375281479890002,0.4269018661901305,1.000624724101605,False
42,DRI,VFC,-4.063104628025102,0.0011138362221076818,0.5914576692128638,0.3168341870463035,2.411957782125371,True
43,ADI,FIS,-4.058951685891647,0.001131411101025882,1.255980847835411,0.3471111618171029,2.6244562728599368,True
44,GPN,J,-4.053503448538763,0.001154860532816519,0.3904480580431774,0.37979562057194255,1.2388838553082195,True
45,CMS,LNT,-4.050546113988753,0.0011677783000994626,0.7925769608311691,0.28818814679232535,5.088663161709118,False
46,AZO,UA,-4.047049874558827,0.0011832240378780497,-0.01976744991503619,0.45072240953386405,2.104357207003426,False
47,EXPE,HAS,-4.03652003710976,0.0012309028386387967,0.5655865226054729,0.3000806587609892,1.2023035113868905,False
48,FIS,GRMN,-4.024894109755507,0.0012856238769324187,0.7440606296392177,0.4241554263317482,2.1482849277686555,False
49,L,USB,-4.019203308828933,0.00131322871861823,1.1451794909913584,0.41520131590785714,7.664070925304522,True
50,HBAN,MTB,-4.012933518641664,0.0013442813406608501,12.049758447699658,0.39770714226137005,6.841197538865312,False
51,GM,MGM,-4.001889233845717,0.0014006509146162439,1.0903915992327347,0.4118056780176076,2.5791343871490873,True
52,HIG,MET,-3.987874423702998,0.0014753523050899402,0.7821016055539647,0.3328963272933416,4.477881065041113,False
53,AJG,MMC,-3.9847682688919925,0.0014924030880556233,0.8924075278387064,0.33315527214424123,1.3254054193287583,True
54,HD,PHM,-3.980334013504506,0.001517062215973495,0.17025862249839632,0.4803909752769095,16.5836018457557,True
55,ADSK,CTXS,-3.980110578011086,0.001518314728468463,0.4523871257137068,0.4340108994728763,1.045170711920018,False
56,TSCO,UA,-3.942516745390456,0.001743299188729834,-0.3054872415700577,0.4568861181343298,1.68179456759927,False
57,PNC,RJF,-3.9374351316982468,0.0017759820940608944,0.624526255620229,0.3403411840896298,147.24267379211318,True
58,CTAS,INFO,-3.936494444140723,0.0017820942538669868,0.2142087177655123,0.3068945111450897,2.1456070052175558,False
59,DPZ,F,-3.9337744710808566,0.0017998774110580865,-0.02650675006744799,0.3627463999386523,1.514981568818927,True
60,EBAY,LEN,-3.9290754460700783,0.0018309880765304772,1.3031244037379097,0.3951545830845935,5.597813222414664,False
61,ORLY,UA,-3.9280640754185923,0.001837748935574929,-0.08504466115634673,0.45457707195866653,1.5238865944487632,True
62,IP,MGM,-3.9198878662478944,0.001893262036263395,0.6718492820461115,0.3412741222267919,7.589431795950625,True
63,CERN,JNJ,-3.9138067983185767,0.0019355538862441029,2.4893276418830954,0.44325980100724216,1.2915821821798612,True
64,CAT,EMR,-3.9036984429755317,0.0020077965725721924,0.2786244830637026,0.4543690912973095,1.174384098988649,True
65,PVH,UA,-3.9001369486178654,0.0020338394710470963,-0.14535582801613667,0.43401161412537326,2.362910414522573,False
66,EMR,RHI,-3.8957515967432,0.0020663364361696067,1.1457336781545486,0.4054327159527903,1.5135341398123492,True
67,EL,WMT,-3.893433502108278,0.002083707919042734,0.47182227929373416,0.38995896179020223,1.067879752146076,False
68,BKNG,PKG,-3.8773207480903173,0.002208240716647817,0.05997640716693442,0.32860949900245806,4.151365283682988,True
69,IPG,OMC,-3.876668525516246,0.0022134237280827065,4.651570918675064,0.364822489628927,1.0658541119926062,False
70,CMI,PCAR,-3.8737235487594357,0.002236966941858638,0.32159548663426835,0.3519977919135275,1.135398436909288,True
71,MET,SYF,-3.867293293450375,0.0022891797050778235,0.8901413195898654,0.36947938461692054,3.6865528542417567,False
72,APH,MXIM,-3.863645174781096,0.0023193004933503374,0.5692851570501803,0.37104704678017597,4.743578500514862,True
73,COF,FITB,-3.8598857497627876,0.0023507231444747476,0.3744199079870139,0.3659014783838037,4.7337571759362405,True
74,CPRT,INFO,-3.8515819758087515,0.002421527917452794,0.5757835286727511,0.3014489792770291,1.2140310895199444,True
75,BLL,KMX,-3.851507504743708,0.0024221717366212,1.0086870270950408,0.48059747706037986,2.569703894254833,True
76,BMY,GILD,-3.848860925188901,0.0024451549036577816,1.6732822880454232,0.41633651923837584,1.5473728914487987,True
77,ATVI,EA,-3.843477511427226,0.0024925276012727165,1.5167878699600013,0.45264820477941775,1.8074965378486698,True
78,EW,STE,-3.8407115523654047,0.0025171954553905177,1.9630407105993093,0.39548837955565375,3.422715031009496,True
79,CHTR,TMUS,-3.834987194622606,0.0025689645741713224,0.16661807588108346,0.3505584466976169,2.9540115560558844,False
80,BSX,HCA,-3.8294996234328926,0.0026195126985837603,3.4351778952562753,0.3867250721173526,7.384288576883415,True
81,HSY,MDLZ,-3.8291250750420107,0.0026229960284590527,0.2369701080865946,0.3403648975934779,1.1104014222179175,True
82,AJG,PGR,-3.826563070291975,0.002646937650314708,1.0149077127186739,0.3650875820530912,3.047034210569452,False
83,AIZ,WU,-3.8251718997266466,0.002660022222876124,0.11798356111682412,0.36042778578930157,3.756283680484999,True
84,COF,ZION,-3.8211945527045916,0.002697760589064675,0.7484579338294518,0.3869418496108693,1.725881612864521,True
85,INFO,J,-3.809376901542775,0.002812820950355452,1.1089645723934445,0.42230636608693317,3.444976858901869,False
86,CB,MET,-3.807826630541405,0.0028282457765087627,0.33093749255843563,0.364692448533695,64.82993052258321,False
87,AMZN,UA,-3.8027793157481855,0.002879006620509203,-0.016718661531745695,0.4684476371070142,1.3483576218406046,True
88,RMD,ZTS,-3.7982903431368933,0.0029248555345767055,0.868842235066054,0.23360920780588684,8.600132850464846,False
89,HII,RTX,-3.794556901469335,0.002963498551348031,0.2382006175903491,0.3925630835411533,1.2630015361474027,False
90,ADSK,ZBRA,-3.7886228874668464,0.00302588637411867,1.338354637402933,0.30929877814603046,1.1139826920332538,False
91,LOW,NKE,-3.782872205868276,0.003087497205649947,0.7804046620246056,0.3670180928405072,19.633129246420914,False
92,PKI,VAR,-3.771762830234366,0.003209797110622332,1.3767919664762882,0.41079822884214034,6.72397341549677,True
93,ETN,PCAR,-3.7717314983493906,0.003210148242133075,0.7362476774378581,0.3988022567145519,2.822473759911815,True
94,AME,IEX,-3.7694097051309567,0.003236266631385812,1.931038680098495,0.4314045005331291,3.957008811473984,True
95,CBOE,GL,-3.7577736573686367,0.00337012818572994,0.6345106327469774,0.367956777849767,1.4392440611703678,False
96,PBCT,WFC,-3.756423756634342,0.0033859821935145686,4.306907449946536,0.38235157713039497,1.4103980815226138,True
97,FITB,TFC,-3.752812563523305,0.003428731201326423,1.4428237947832594,0.2643832724404953,2.7774207438017005,True
98,MDLZ,PEP,-3.742979186017187,0.0035476604647142677,2.6186162071805534,0.3395040043111672,5.757934684104104,True
99,LYB,NUE,-3.728238790675892,0.0037330350234965606,0.5178185295176571,0.37080350981609356,4.221397055398348,True
100,AIZ,MMC,-3.7271606265885446,0.003746936264949051,1.1882863764786729,0.39976465721794086,1.144510063260386,False
101,COF,L,-3.7242198445824575,0.0037850944426007804,0.44058370851555945,0.34804018664096803,3.526296888703559,False
102,SLG,VNO,-3.7236195539101344,0.003792927128640744,0.7070369082705955,0.40919695851388893,7.5655085098238715,True
103,DOV,WM,-3.7216089637117356,0.003819269856617599,1.0495027900496396,0.36193642839321033,6.331563861152745,True
104,L,MET,-3.7195856807862797,0.003845947892251436,0.8907632149143259,0.3965404507790201,9.373570040586173,False
105,FB,IPG,-3.7178973419470935,0.003868339971293446,-0.027523821275129975,0.3817390949617327,1.0200188609852594,False
106,AVGO,MCHP,-3.716943662083772,0.003881041105968332,0.29249905893731,0.3238274297956469,3.4522271842215133,True
107,FRT,REG,-3.7165662981433103,0.003886077380776555,0.45894635427663855,0.3586309038278268,3.8113934381866,True
108,CDW,MSI,-3.716325302162794,0.0038892968266941567,1.2120404055441978,0.4182043257946906,1.7446886684685043,False
109,AKAM,GRMN,-3.7074611270854785,0.00400942232700034,1.0850281254526257,0.45805634556287333,3.45630203242894,False
110,BAC,CBOE,-3.705833265472156,0.004031848191241051,3.5524452913105242,0.4134499128501734,6.023972801084955,True
111,KEYS,ZBRA,-3.7020092294398483,0.004084981126913857,2.5402359503003002,0.3455080031709279,4.496559474627691,False
112,A,VAR,-3.6973565448487666,0.004150490717434396,1.6482324906363914,0.3855878916318818,17.960140514862953,True
113,MDT,MRK,-3.6938905362717667,0.004199914521411705,1.0371493505721188,0.39917290109506115,1.3368798441952943,False
114,F,HBI,-3.6923847984959313,0.004221552793348372,2.5559938810098446,0.3835486700024511,4.825937876336054,True
115,APA,SLB,-3.690962415121415,0.004242086726070014,1.4710685308385494,0.3690101523371505,178.55738089240617,True
116,DHR,HOLX,-3.6873384686221655,0.0042948161129436275,0.18041107792721597,0.38928874051299756,1.480112985675924,True
117,AME,AVY,-3.686838568798852,0.004302136588501535,1.187696836468467,0.3609717041331176,2.484459767783826,False
118,AOS,PNR,-3.683566708628602,0.0043503313889568605,0.48683018145345025,0.4372116771000447,1.8188491385473784,False
119,MPC,WMB,-3.6817849514253673,0.004376783683942909,0.19615138826702927,0.4862007878826808,3.117679054025007,False
120,DLR,DRE,-3.6796663504655673,0.004408427894534719,0.23191185174018397,0.3764652955082265,11.276198266422742,False
121,NFLX,TWTR,-3.672003862797837,0.004524629027607318,0.06058153636596434,0.38968433844216716,3.2818039190914514,True
122,COF,HBAN,-3.66864803298679,0.004576394400025797,0.17507058044853616,0.2923653213539771,10.584537471911162,True
123,LRCX,QRVO,-3.6637435454146083,0.0046530206052744355,0.2551943943207241,0.3389303702560415,1.0587244392980257,False
124,DFS,L,-3.659163036963323,0.0047256396283964636,0.4632511452548959,0.34955770860374513,2.4976980241492184,False
125,DPZ,KMX,-3.6526353463906953,0.0048309148097482385,0.14897295211125947,0.4861102452344945,1.4798696903893873,False
126,MET,PFG,-3.6469171066575847,0.004924886379587273,1.887725788742332,0.38757695087788413,1.0758983830422688,True
127,INFO,TT,-3.6415148508092314,0.005015191180844392,1.358275654724352,0.3309489594099824,4.991738419928315,True
128,CMG,F,-3.6403751632163144,0.005034433818685861,-0.006660612229991628,0.46467072591597575,3.598192578131967,True
129,ANET,FLIR,-3.637597378409856,0.005081616105691885,0.10689380046982924,0.4008648063104435,1.7983622064349087,True
130,TXT,WAB,-3.6312258583559576,0.005191363602055226,1.2406450589469022,0.38211567046487427,2.340398790440982,True
131,ACN,AKAM,-3.6263824961245095,0.005276226425214735,0.46103521624640376,0.4268197659430699,61.03552999671588,True
132,CVS,GILD,-3.622375128090324,0.005347392738801639,0.6614605148061041,0.4213102227174933,1.5212063146725558,False
133,AMZN,PHM,-3.6222855941034595,0.0053489926778173096,0.0092519440427718,0.4679617516096067,4.739480099655012,False
134,COG,KMI,-3.6158659064762735,0.005464850398123264,0.29360125196283027,0.4299998018306683,3.7760224306079824,False
135,AMZN,KMX,-3.6132181831755616,0.005513294979775826,0.01802928342321542,0.4447506694698073,1.0858669549006774,True
136,HON,WM,-3.6131766209012466,0.005514058531559724,0.8268032621887003,0.3628200916288391,1.1904107155754993,False
137,SLB,WMB,-3.6117477482517146,0.005540367214031534,0.1304336423121639,0.4965824436203222,2.798186671461404,False
138,COF,NTRS,-3.607259986432017,0.005623739651551449,1.076651100469974,0.34106295707356166,41.16585390317258,True
139,ALL,AXP,-3.606612137069472,0.005635868848245703,1.3892924752054443,0.36965516556053263,1.2247449743678558,True
140,BBY,ROL,-3.6050181389747644,0.005665813230161782,0.4476455293703694,0.3888264955691554,7.93581206232701,True
141,KEYS,TDY,-3.604429714501184,0.005676903641577259,3.3069338891830165,0.34517347782596547,5.441433861718215,True
142,GOOGL,IPG,-3.6039764785052544,0.005685459497747565,-0.0045759616347608575,0.37942102734008537,1.0217873285079442,True
143,GOOG,IPG,-3.602989621653515,0.005704129149858777,-0.004463450122775923,0.37993735937582906,1.0275791876270362,True
144,DPZ,LEN,-3.602658737088516,0.005710401365558705,0.0616463332306412,0.46729411591821995,1.806787174675627,True
145,CE,CF,-3.6006085669079155,0.005749403910820204,0.3436326206818366,0.4255061460712767,17.994883191433438,True
146,CHD,MDLZ,-3.5997212120919326,0.0057663598149540925,0.3468769156495157,0.3277229135276671,1.0024184796742404,True
147,CFG,MET,-3.598611163420604,0.0057876349031925544,0.6990559800646727,0.389358475223973,1.699022605626168,True
148,C,MET,-3.597416558369252,0.005810610117827701,0.432121002027486,0.33004248536642744,2.0497048059745153,False
149,KLAC,TYL,-3.5952145060200116,0.005853177945963104,1.7060775371420687,0.40034626747384466,1.3388340851193186,True
150,AAPL,QCOM,-3.590799593588223,0.005939375495745948,0.6874888729605357,0.3986774064944777,1.158425187537288,False
151,PGR,V,-3.5901785760538494,0.005951592245521794,2.289319518628984,0.3378442178793485,10.792831595651911,True
152,CBOE,RJF,-3.5855666226197367,0.006043034381887192,0.6992117805535593,0.39246576026441765,3.605973217929638,True
153,ABMD,PFE,-3.585064722524535,0.006053062086413999,0.028886769559374265,0.4134415731979012,1.2556198621745365,False
154,AWK,XEL,-3.5833134845595302,0.006088169114786252,0.41191590364667885,0.2542369508605555,1.6040936072324303,True
155,ABT,HOLX,-3.582737115744603,0.006099763853651127,0.31468758981203143,0.41309164319288233,2.65318749147376,True
156,COST,MKC,-3.580014995065611,0.006154795224045438,0.525057416838212,0.42605936530980115,2.881627767092863,False
157,CXO,NOV,-3.5732518366839443,0.006293473428753109,0.2703013674521012,0.45545580052158247,128.51350798427183,True
158,HD,KMX,-3.5699810927484465,0.006361549403598515,0.33255149468548095,0.45562992043528694,3.5537941434795006,True
159,CCI,PLD,-3.568212317003021,0.006398641005025878,0.666820621430709,0.3773654601713981,2.7788996472940575,False
160,AAPL,AMD,-3.564031529197022,0.006487092127722723,0.8957834987323107,0.317680129701824,1.591357184278843,True
161,DG,MNST,-3.5637736967911327,0.006492583014442509,0.18985725838508186,0.43511369392543364,1.1213686120359845,True
162,CTAS,TT,-3.562934492390076,0.00651048411946204,0.2851665045251632,0.38830670972360065,1.4704056796775762,True
163,ACN,FIS,-3.5618296311919506,0.006534120033976459,0.7020035763899516,0.38586529057126423,3.63345670329477,True
164,ACN,TXN,-3.5606031902763706,0.006560447723043344,0.6744485091134791,0.3320688463480166,3.881916779349906,True
165,ROP,UNP,-3.5543087978995134,0.006697083331863756,0.44166228858260564,0.32728797084895433,2.73499238132869,True
166,DLTR,TSN,-3.5535375997091707,0.006713999810802579,0.7750098345849348,0.35492610963411714,21.42528173238544,True
167,NVR,PHM,-3.553402775305489,0.006716961189887461,0.009507571955325119,0.3899029077040831,13.683387331143566,True
168,LNC,MET,-3.551753291390622,0.0067532873127411535,0.36714689096864844,0.4042827811688711,1.472627976716959,True
169,AIZ,WRB,-3.550526849140318,0.006780411872102156,0.7333518192853503,0.3650496226503798,1.6235977433736384,False
170,HBAN,L,-3.5462853292369627,0.0068749798038704735,2.782931244487935,0.40814561173998115,3.112535938588684,True
171,CBOE,JPM,-3.538885103092382,0.007042829675672587,1.075349485481545,0.3941383999535732,6.675874646837126,True
172,BKR,KMI,-3.538574999301145,0.007049943438233496,0.0994948196655181,0.3784166613816375,2.3446460101765223,False
173,COP,HFC,-3.5375510248467252,0.007073479439525675,1.3375085007860958,0.401911872814299,1.0387285592724704,False
174,FITB,NTRS,-3.522342808759683,0.007431485458498374,2.8613991289640075,0.3528526503153576,1.9094405712236364,True
175,DOV,J,-3.5217628377130046,0.00744545589085257,0.8353717830669242,0.3957632471149394,35.34139638901073,True
176,FDX,PNR,-3.5135717066543126,0.0076453086736725465,0.08541816459847175,0.43529530706912883,1.2995301151605474,True
177,BKR,WMB,-3.5130001820745003,0.007659431808709857,0.17980460733303774,0.4873269277219357,3.021612610979388,True
178,AMD,JNPR,-3.511604224751494,0.007694026605959904,-0.04831900940833447,0.3491264984328278,1.127612655718984,True
179,ESS,UDR,-3.508588419813215,0.007769245427621818,0.1365073235699752,0.338250415006613,4.290441343789166,False
180,ADI,AVGO,-3.5061909681073504,0.007829513161897799,2.9807642730089126,0.3601847604069494,1.389387653664898,True
181,COF,PNC,-3.502329894475377,0.007927458664012394,1.9103974631386047,0.3439703714707199,1.0920750240034878,True
182,J,RSG,-3.5014182985025584,0.007950743775649426,0.917703915995984,0.38628884598804586,3.5115615189744953,True
183,HFC,VLO,-3.5007646752244024,0.007967477285615655,1.32074447178507,0.437436256538323,2.059517252293706,True
184,KLAC,LDOS,-3.4962998987169915,0.008082630541872096,0.4394284781362818,0.44039935392044866,2.1802891705130922,False
185,AKAM,QRVO,-3.494391981953722,0.008132293342214894,1.1832471265455458,0.4391916971051094,5.145733096837401,False
186,ATO,SRE,-3.4925588222578274,0.008180268481685678,1.0626580061779696,0.2959437332807252,1.0995468628581506,False
187,AKAM,LDOS,-3.4902524129053116,0.008240990243953998,0.9902388184298547,0.3839456597994211,11.14419609215223,False
188,RF,ZION,-3.4839572056519925,0.008408793633701468,2.924819229289053,0.3987402664768201,167.77430012042902,True
189,CFG,COF,-3.482954707970712,0.008435797416270914,1.7844704644106328,0.31942950074183196,1.1579335560030937,True
190,ACN,ORCL,-3.480425609029644,0.008504268906685895,0.1572301437828171,0.3130918487236977,1.0981761138896948,True
191,DISCK,NWSA,-3.480327615408157,0.008506931948383638,-0.05409015244300601,0.4570482080429121,3.5731901826890864,True
192,O,PEAK,-3.4774739289001486,0.008584811895682148,0.36320501346632306,0.3443689153505599,5.942263723091724,False
193,CMG,GPS,-3.47717660921518,0.008592962749441315,-0.01908267126630993,0.4315975515627421,1.4738138587187795,True
194,RMD,STE,-3.4767241296570472,0.008605380555502565,0.856187477925319,0.30414305789375173,2.2578981313313955,False
195,STE,ZTS,-3.475370288900786,0.008642631486109671,1.0107676276837279,0.3197234359140463,1.3971906174713666,True
196,VLO,WMB,-3.4749836842430133,0.008653295445084017,0.08679263311833749,0.4950370833749762,2.8989051557646053,True
197,J,UNP,-3.4738230335391003,0.008685381379199272,2.2437082249317952,0.39336439046750465,2.2757889970916154,False
198,AMGN,LH,-3.471797181962166,0.008741641483541864,0.7117420321705012,0.36784489005771,2.2649408310218844,False
199,NOC,PH,-3.470842037309556,0.008768280133403413,0.512918077959571,0.44253997994564526,3.0168986838602634,True
200,CHD,MKC,-3.468363268714394,0.008837752162215174,2.4271874826350195,0.35633174086131136,1.1083483549993869,True
201,L,SYF,-3.466018607088241,0.0089039195164374,0.7769773741039072,0.4283779189863046,9.575705486280182,False
202,J,PAYX,-3.46475425442338,0.008939784141612233,0.6538120452350857,0.3745257714457421,1.557022768029876,True
203,ALLE,LMT,-3.4589930177237944,0.009104852408913976,3.6561804893639307,0.38940746174588237,15.934563966383374,False
204,HPE,JNPR,-3.4567913088976256,0.009168652616162027,0.7180285161202004,0.4484306461606804,2.813229825394375,False
205,FLT,MSI,-3.453589946318624,0.009262135028348235,0.6479939860918571,0.39053809218287144,1.5963965562605105,True
206,FISV,MSI,-3.4532507075749965,0.009272090932621737,1.6953945732796354,0.33302871784686183,1.968258848289225,False
207,AKAM,CTXS,-3.452622678827254,0.009290547481712838,1.4294378661754434,0.44012064674978874,6.690855157234853,True
208,HBI,SEE,-3.452262260480901,0.009301154331766,0.9776520027747917,0.36730812663177326,1.586912309007896,False
209,IP,WRK,-3.4522507549737225,0.009301493109028454,1.5343627196173493,0.3944464761494324,1.1758482473357563,True
210,BLL,F,-3.4520870711301423,0.009306313942700498,-0.12421009277221119,0.4298941216264524,2.6378878557414964,False
211,MCO,MMC,-3.4518096514956893,0.009314489644678738,0.2796615304729642,0.37267827844036316,1.1067673224208194,False
212,ALL,JPM,-3.451679132637465,0.009318338328160078,1.4146065315844814,0.386525817923716,1.1581856297966795,False
213,ANSS,QRVO,-3.450334542180364,0.009358070005683674,0.2824120178689087,0.3601925266761558,1.2566751808079522,False
214,AMD,PAYC,-3.444561064069179,0.009530401418081298,5.096356843718366,0.34667683133272886,10.74418651232328,False
215,NSC,RSG,-3.4436782132724075,0.009557002328761083,0.35109782500329006,0.3699534667599075,1.5511600814382842,False
216,FTI,WMB,-3.442223383543185,0.009600982328657326,0.5357821032340528,0.4922634412642603,3.7458512297188853,False
217,AMT,PLD,-3.441316531122663,0.009628488313961622,0.3191287661054808,0.35911793892168276,2.052385743136714,True
218,FAST,KSU,-3.439391227710063,0.009687119036024684,4.064436858537349,0.4249468578530498,11.432805609603474,True
219,DISCA,NWSA,-3.4380401361664403,0.009728453905810777,-0.04437234408948826,0.4580329380163566,3.6685797558939433,True
220,CDNS,SNPS,-3.437534286861392,0.00974397023714709,1.8505661073354205,0.36189408702715575,4.066255451626071,False
221,COO,SYK,-3.4370896474324457,0.009757627299415287,0.6042512978280582,0.41744924611099404,2.168596571429362,True
222,DOV,TT,-3.436882499474495,0.009763995674011872,1.026697599220914,0.39623400042363044,7.861225572187459,False
223,CCI,DLR,-3.4333934234220784,0.009871820676379844,0.6937995481347192,0.3735565076259577,1.2190219088914827,True
224,CTAS,DOV,-3.4306082084361367,0.00995865647090243,0.2775558052279141,0.40533914623350104,1.1903770662885995,True
